database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated,disposition,disposition_reason,ranking_score,ensemble_spread,ad_distance,screen_rank,evidence_state
2026.04.13,mp-769549,LiZnCr3(SO4)6,Cr:0.08571429|Li:0.02857143|O:0.68571429|S:0.17142857|Zn:0.02857143,Cr;Li;O;S;Zn,5,1,Triclinic,0.0107583012499974,2.2921,True,,,2021-02-17 00:38:54.203000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.43141845564239,0.31656196927588864,4.477300836810912,203,not_applicable
2026.04.13,mp-769554,LiMgCr3(SO4)6,Cr:0.08571429|Li:0.02857143|Mg:0.02857143|O:0.68571429|S:0.17142857,Cr;Li;Mg;O;S,5,1,Triclinic,0.0086855677500041,2.4161,True,,,2021-02-23 13:27:35.950000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.360975994689552,0.3693620089905737,3.4476811252637063,195,not_applicable
2026.04.13,mp-770191,Li2V2(SO4)3,Li:0.10526316|O:0.63157895|S:0.15789474|V:0.10526316,Li;O;S;V,4,60,Orthorhombic,0.0464551358864229,3.4618,True,,,2021-02-06 11:43:01.434000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.492383868789899,0.19464876342018222,2.0733259312594887,149,not_applicable
2026.04.13,mp-770383,Li2Cr2(SO4)3,Cr:0.10526316|Li:0.10526316|O:0.63157895|S:0.15789474,Cr;Li;O;S,4,15,Monoclinic,0.0488440328759445,2.2954,True,,,2021-02-17 00:46:43.559000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.9382603243011545,0.23964280264575188,2.648781463772053,178,not_applicable
2026.04.13,mp-770410,Li2Cr2(SO4)3,Cr:0.10526316|Li:0.10526316|O:0.63157895|S:0.15789474,Cr;Li;O;S,4,60,Orthorhombic,0.0457676736654173,2.5069999999999997,True,,,2021-02-05 18:53:22.301000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.9382603243011545,0.23964280264575188,2.648781463772053,179,not_applicable
2026.04.13,mp-771819,LiFe(SO4)2,Fe:0.08333333|Li:0.08333333|O:0.66666667|S:0.16666667,Fe;Li;O;S,4,1,Triclinic,0.0205766672569502,2.0517,True,,,2021-02-23 18:17:12.110000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.032031738721995,0.2693192324485203,7.524291226144288,98,not_applicable
2026.04.13,mp-771941,LiV(SO4)2,Li:0.08333333|O:0.66666667|S:0.16666667|V:0.08333333,Li;O;S;V,4,1,Triclinic,0.0145869946527801,1.8683,True,,,2021-02-04 10:50:26.220000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.479930608217094,0.312484794094914,1.8862820393591453,146,not_applicable
2026.04.13,mp-773160,LiCrCSO7,C:0.09090909|Cr:0.09090909|Li:0.09090909|O:0.63636364|S:0.09090909,C;Cr;Li;O;S,5,4,Monoclinic,0.037364464374999,2.5005,True,,,2021-03-10 01:30:02.058000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.001094661001065,0.4181893513462825,4.614312563547471,180,not_applicable
2026.04.13,mp-7744,LiSO3F,F:0.16666667|Li:0.16666667|O:0.50000000|S:0.16666667,F;Li;O;S,4,12,Monoclinic,0.0,5.7916,False,icsd-1384,,2021-03-09 21:04:05.544000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-8.928765082819412,0.598703465831841,6.662230127566377,230,not_applicable
2026.04.13,mp-774736,LiCuS,Cu:0.33333333|Li:0.33333333|S:0.33333333,Cu;Li;S,3,9,Monoclinic,0.0052187145138873,1.6984,True,,,2014-02-20 10:21:10+00:00,redox_electronic_risk,Cu,-7.3099130622077935,0.3527264792868809,5.214030190723422,191,not_applicable
2026.04.13,mp-774907,KLiZnS2,K:0.20000000|Li:0.20000000|S:0.40000000|Zn:0.20000000,K;Li;S;Zn,4,119,Tetragonal,0.0,2.4361,True,,,2022-09-16 23:26:05.112000+00:00,screen_candidate,outside OBELiX composition set,-5.932728492489354,0.4260254959922103,8.556642085449965,83,extrapolative
2026.04.13,mp-775806,Li3SbS3,Li:0.42857143|S:0.42857143|Sb:0.14285714,Li;S;Sb,3,14,Monoclinic,0.0397756373214281,2.2886,True,,,2021-02-05 05:01:42.910000+00:00,obelix_composition_reference,measured composition in OBELiX,-8.481216064358739,0.31153525590524583,2.6957350719979525,226,not_applicable
2026.04.13,mp-776423,Li6Ni2C4SO16,C:0.13793103|Li:0.20689655|Ni:0.06896552|O:0.55172414|S:0.03448276,C;Li;Ni;O;S,5,203,Cubic,0.0417234181896581,3.6761,True,,,2021-02-16 21:39:36.872000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-8.326716254197898,0.2935237810386481,7.548490812005676,218,not_applicable
2026.04.13,mp-776761,LiCr(SO4)2,Cr:0.08333333|Li:0.08333333|O:0.66666667|S:0.16666667,Cr;Li;O;S,4,1,Triclinic,0.0218078544097224,2.1597,True,,,2021-02-20 04:38:18.529000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.394193442970562,0.3790522606172683,2.8029427838113636,199,not_applicable
2026.04.13,mp-777573,Li2Fe2(SO4)3,Fe:0.10526316|Li:0.10526316|O:0.63157895|S:0.15789474,Fe;Li;O;S,4,60,Orthorhombic,0.0081136247368327,3.8848,True,,,2021-02-21 17:27:20.394000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.909111315972783,0.2187703245390952,9.82017988935489,176,not_applicable
