database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated
2026.04.13,mp-696138,Li10Ge(PS6)2,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,Ge;Li;P;S,4,1,Triclinic,0.018760533900000098,2.3653,True,,,2021-02-22 23:41:10.625000+00:00
2026.04.13,mp-704145,Li2Mn2(SO4)3,Li:0.10526316|Mn:0.10526316|O:0.63157895|S:0.15789474,Li;Mn;O;S,4,61,Orthorhombic,0.007731198157890695,4.4239,False,icsd-93650,,2020-04-29 10:49:16.051000+00:00
2026.04.13,mp-720509,Li10Si(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Si:0.04000000,Li;P;S;Si,4,1,Triclinic,0.006719742999999667,2.5638,True,,,2021-02-23 03:33:39.501000+00:00
2026.04.13,mp-721236,Li10Sn(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,Li;P;S;Sn,4,1,Triclinic,0.023375087500000724,2.339,True,,,2021-02-20 13:58:19.270000+00:00
2026.04.13,mp-722181,KLiS,K:0.33333333|Li:0.33333333|S:0.33333333,K;Li;S,3,194,Hexagonal,0.048966201666666986,2.7753,False,icsd-27465,,2021-05-22 03:54:33.029000+00:00
2026.04.13,mp-753195,Li2WS4,Li:0.28571429|S:0.57142857|W:0.14285714,Li;S;W,3,121,Tetragonal,0.03154619428571337,1.9870999999999999,True,,,2023-10-08 04:36:33.785000+00:00
2026.04.13,mp-753371,LiCuS,Cu:0.33333333|Li:0.33333333|S:0.33333333,Cu;Li;S,3,139,Tetragonal,0.048570157013887894,1.8048,True,,,2023-10-07 05:58:33.743000+00:00
2026.04.13,mp-753520,Li3BiS3,Bi:0.14285714|Li:0.42857143|S:0.42857143,Bi;Li;S,3,33,Orthorhombic,0.0381694296428563,2.2533999999999996,True,,,2021-02-24 09:12:16.238000+00:00
2026.04.13,mp-753546,Li8TiS6,Li:0.53333333|S:0.40000000|Ti:0.06666667,Li;S;Ti,3,185,Hexagonal,0.0034980028333322366,2.2894,True,,,2022-04-29 00:52:38.225000+00:00
2026.04.13,mp-753677,Li3BiS3,Bi:0.14285714|Li:0.42857143|S:0.42857143,Bi;Li;S,3,161,Trigonal,0.04869412214285607,2.558,True,,,2021-02-24 06:21:34.735000+00:00
2026.04.13,mp-753720,Li3BiS3,Bi:0.14285714|Li:0.42857143|S:0.42857143,Bi;Li;S,3,148,Trigonal,0.02513504999999938,2.4456999999999995,True,,,2021-02-20 06:23:23.911000+00:00
2026.04.13,mp-753737,Li3CuS2,Cu:0.16666667|Li:0.50000000|S:0.33333333,Cu;Li;S,3,60,Orthorhombic,0.042037790833330924,1.9809999999999999,True,,,2021-02-24 14:59:25.231000+00:00
2026.04.13,mp-753968,Li2WS4,Li:0.28571429|S:0.57142857|W:0.14285714,Li;S;W,3,62,Orthorhombic,0.04810947999999993,1.6913,True,,,2021-02-22 22:04:27.487000+00:00
